title,author,num_pages,average_rating,ratings_count,text_reviews_count,publisher,publication_date,isbn,adult,art,audiobook,biography,business,childrens,classics,comics,comedy,contemporary,culture,food_and_drink,crime,fantasy,fiction,sexuality_and_gender,literature,graphic_Novels,historical,history,horror,magna,memoir,music,mystery,nonfiction,paranormal,philosophy,poetry,psychology,religion,romance,science,science_fiction,self_help,suspense,spirituality,sports,thriller,travel,young_adult
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,4.59,101233,1550,Ballantine Books,9/25/2012,0345538374,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,1184,4.5,1710,91,Houghton Mifflin Harcourt,10/21/2004,0618517650,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,398,4.36,2128944,13670,Houghton Mifflin Harcourt,9/5/2003,0618346252,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,1216,4.5,1618,140,Houghton Mifflin Harcourt,10/1/2002,0618260587,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,218,4.53,19822,46,Houghton Mifflin Harcourt,11/5/2003,0618391002,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: Complete Visual Companion,Jude Fisher,224,4.5,359,6,Houghton Mifflin Harcourt,11/15/2004,0618510826,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,558,3.84,1430,59,Pragmatic Bookshelf,7/28/2005,097669400X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hatchet (Brian's Saga  #1),Gary Paulsen,208,3.72,270244,12017,Atheneum Books for Young Readers: Richard Jackson Books,4/1/2000,0689840926,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,48,4.0,36,2,Teacher Created Resources,8/28/1994,1557344493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,144,3.88,2067,334,Delacorte Press,1/23/2001,0385326505,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,228,3.45,99,16,The New Press,11/1/2005,1595580271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,304,3.76,167,4,Changeling Press,11/1/2005,1595962808,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changeling (Changeling  #1),Delia Sherman,256,3.6,978,111,Viking Juvenile,8/17/2006,0670059676,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Changeling Sea,Patricia A. McKillip,137,4.06,4454,302,Firebird,4/14/2003,0141312629,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Changeling,Zilpha Keatley Snyder,228,4.17,1176,96,iUniverse,6/8/2004,0595321801,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Changeling,Kate Horsley,339,3.55,301,43,Shambhala,4/12/2005,1590301943,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Changeling (Daughters of England  #15),Philippa Carr,369,3.98,345,12,Ivy Books,8/28/1990,0449146979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Known World,Edward P. Jones,388,3.83,29686,2626,Amistad,8/29/2006,0061159174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Known World,Edward P. Jones/Kevin R. Free,14,3.83,55,12,HarperAudio,6/15/2004,006076273X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Known World,Edward P. Jones,576,3.83,22,3,Harper,6/15/2004,0060749911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,334,3.83,1456,82,FT Press,5/15/2006,0273704745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesia: Adventures in the Known World,Mark Smylie,352,4.13,52,4,Archaia,12/14/2005,1932386106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,416,4.42,562,37,Farrar  Straus and Giroux,6/1/1982,0374517193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Uncommon Carriers,John McPhee,248,3.95,1630,203,Farrar Straus Giroux,5/16/2006,0374280398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Heirs of General Practice,John McPhee,128,4.17,268,22,Farrar  Straus and Giroux,4/1/1986,0374519749,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Control of Nature,John McPhee,288,4.24,3498,305,Farrar  Straus and Giroux,9/1/1990,0374522596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Annals of the Former World,John McPhee,720,4.34,3115,228,Farrar  Straus and Giroux,1/6/1999,0374518734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Coming Into the Country,John McPhee,448,4.22,5704,261,Farrar  Straus and Giroux,4/1/1991,0374522871,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
La Place de la Concorde Suisse,John McPhee,160,3.92,698,52,Farrar  Straus and Giroux,4/1/1994,0374519323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Giving Good Weight,John McPhee,288,4.23,542,36,Farrar  Straus and Giroux,4/1/1994,0374516006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rising from the Plains,John McPhee,208,4.23,1341,98,Farrar  Straus and Giroux,11/1/1987,0374520658,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
The Heidi Chronicles,Wendy Wasserstein,81,3.75,1423,70,Dramatists Play Service,3/1/2002,0822205106,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,249,3.84,2766,64,Vintage,7/2/1991,0679734996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,138,3.94,31,1,Routledge,3/29/2006,1596670231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simply Beautiful Beaded Jewelry,Heidi Boyd,128,3.77,62,4,North Light Books,3/14/2006,1581807740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,192,4.46,860,53,Chosen Books,9/1/2003,0800793617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,108,3.68,77,2,Association for Supervision & Curriculum Development,1/28/1997,0871202867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,352,3.99,153317,2257,Kingfisher,11/15/2002,0753454947,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,192,3.25,55,5,ASCD,11/15/2004,0871209993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,192,4.46,34,6,Sovereign World,4/28/2003,1852402873,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,832,3.89,11797,659,Workman Publishing Company,10/16/2003,0761129588,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,123,3.82,34,8,One Hour Entertainment,5/10/2004,0972016414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,128,3.78,78,4,North Light Books,8/19/2004,1581805632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,423,3.84,2785,166,Ace Books,6/15/1987,0441294677,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,436,3.91,38778,568,Ace Books,7/1/1987,0441102670,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dune Messiah (Dune Chronicles #2),Frank Herbert,331,3.88,97494,2359,Ace Books,7/15/1987,0441172695,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,592,4.01,784,21,Tor Books,7/1/2004,0765306476,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,480,3.86,272,20,Putnam,4/16/1984,0399128980,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,426,3.88,4789,83,Tor Science Fiction,8/29/2006,0765353709,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Heretics of Dune (Dune Chronicles #5),Frank Herbert,471,3.86,45388,644,Ace Books,8/15/1987,0441328008,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,192,4.59,26153,102,Houghton Mifflin Harcourt,6/12/2002,0618212906,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Power of One (The Power of One  #1),Bryce Courtenay,544,4.35,69167,4551,Ballantine Books,9/29/1996,034541005X,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
The Power of One (The Power of One  #1),Bryce Courtenay,291,4.35,45,13,Delacorte Books for Young Readers,9/13/2005,0385732546,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,256,4.28,16,1,Thomas Nelson,11/1/2004,0785260056,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,205,3.34,174,16,Wiley,5/19/2006,0471780936,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,240,3.67,10,0,Heinemann Drama,2/7/2000,0325001537,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,336,3.48,76,9,William Morrow Paperbacks,5/3/2005,006076287X,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eBay for Dummies,Marsha Collier,386,3.5,111,9,Wiley,10/30/2006,0470045299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,260,3.62,24,0,McGraw-Hill,1/24/2006,0072262788,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starting an eBay Business for Dummies,Marsha Collier,384,3.55,55,4,Wiley,9/17/2004,0764569244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,260,4.27,9,0,Wiley,6/6/2006,0471933821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ebay Timesaving Techniques for Dummies,Marsha Collier,391,3.39,22,1,Wiley,5/31/2004,0764559915,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,864,3.89,17,3,Wiley,4/25/2005,0764584383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby Cookbook,Lucas Carlson/Leonard Richardson,873,3.84,166,4,O'Reilly Media,7/29/2006,0596523696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,240,4.12,50,5,Citadel,5/3/2005,0806523492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,206,4.08,13,2,Citadel,5/3/2005,0806525363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,514,3.48,64,1,O'Reilly Media,1/1/2007,0596527314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,838,4.05,16643,1851,Penguin Classics,5/31/2004,0143035002,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,960,4.05,109420,5696,Signet,11/5/2002,0451528611,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,837,4.05,2904,309,Penguin Books,1/30/2003,0140449175,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
